epoch,dice_coeff,loss,lr,val_dice_coeff,val_loss
0,0.73279136106727771,0.2822450649685701,0.01,0.89513980574873897,0.11875704570389613
1,0.8973777307775781,0.11495936517279715,0.01,0.93593985200439911,0.075129249512893445
2,0.93212833694208452,0.077848824493486443,0.01,0.91933755480680346,0.089652405148412023
3,0.93384745169280103,0.074634165774841305,0.01,0.95586442307852881,0.05221537395096644
4,0.94296525330558367,0.06465476530053782,0.01,0.90223280452351717,0.10502920900931174
5,0.94245885143894026,0.064539790261819233,0.01,0.94481341649534367,0.061894912512517282
6,0.96163502703822168,0.044998016397962935,0.001,0.96094634016184333,0.045615069520192085
7,0.9635344119829552,0.042955409878572819,0.001,0.9642252218569809,0.042196198706335265
8,0.96410212734654188,0.042275589884008327,0.001,0.96545441160897838,0.04087728177209269
9,0.96392898222862866,0.042367458919900722,0.001,0.96464890113715962,0.041610655882455758
10,0.96462192552730919,0.041600289877391929,0.001,0.96488860569286761,0.041303393027301509
11,0.966794177936245,0.039394341080390527,0.0001,0.96696708258641129,0.039216288521310289
12,0.96706755169950664,0.039112898957289886,0.0001,0.96697830309683674,0.039197900392466858
13,0.96717021540813108,0.039003374981515009,0.0001,0.96701987618540486,0.039148727871573537
14,0.96704014946986083,0.039128427916938519,1e-05,0.96709316764266706,0.03907528708293203
